,Page,Texte
14,11,"11
tartuferie aussi rigide que modeste du vieux Kant, par ou il
nous attire dans les voies detournees de la dialectique, ces
voies qui nous menent ou plutot nous induisent a son
 imperatif categorique   ce spectacle nous fait sourire,
nous autres enfants gates, qui ne prenons pas un petit plaisir
a surveiller les subtiles perfidies des vieux moralistes et des
predicateurs de la morale. Ou encore ces jongleries
mathematiques, dont Spinoza a masque sa philosophie 
c’est-a-dire   l’amour de sa propre sagesse  , pour
interpreter ainsi comme il convient le mot  philosophie ,
 dont il a arme sa philosophie comme d’une cuirasse,
pour intimider ainsi, des le debut, l’audace des assaillants
qui oseraient jeter un regard sur cette vierge invincible,
veritable Pallas Athenee ! Combien cette mascarade laisse
deviner la timidite et le cote vulnerable d’un malade
solitaire !
6.
Je me suis rendu compte peu a peu de ce que fut jusqu’a
present toute grande philosophie  : la confession de son
auteur, une sorte de memoires involontaires et insensibles ;
et je me suis apercu aussi que les intentions morales ou
immorales formaient, dans toute philosophie, le veritable
germe vital d’ou chaque fois la plante entiere est eclose. On
ferait bien en effet (et ce serait meme raisonnable) de se
demander, pour l’elucidation de ce probleme : comment se
sont formees les affirmations metaphysiques les plus
lointaines d’un philosophe ?  on ferait bien, dis-je, de se
demander 
a 
quelle 
morale 
veut-on 
en 
venir  ? 
Par"
15,12,"12
consequent, je ne crois pas que 
l’  instinct 
de 
la
connaissance  soit le pere de la philosophie, mais plutot
qu’un autre instinct s’est servi seulement, la comme
ailleurs, de la connaissance (et de la meconnaissance) ainsi
que d’un instrument. 
Mais 
quiconque 
examinera 
les
instincts fondamentaux de l’homme, en vue de savoir
jusqu’a quel point ils ont joue, ici surtout, leur jeu de genies
inspirateurs (demons et lutins peut-etre ), reconnaitra que
ces instincts ont tous deja fait de la philosophie  et que le
plus grand desir de chacun serait de se representer comme
fin derniere de l’existence, ayant qualite pour dominer les
autres instincts. Car tout instinct est avide de domination :
et comme tel il aspire a philosopher.  Certes, chez les
savants, les veritables hommes scientifiques, il se peut qu’il
en soit autrement  que ceux-ci soient, si l’on veut, en
  meilleure   posture. Peut-etre y a-t-il la veritablement
quelque chose comme l’instinct de connaissance, un petit
rouage independant qui, bien remonte, se met a travailler
bravement, sans que tous les autres instincts du savant y
soient 
essentiellement 
interesses. 
C’est 
pourquoi 
les
veritables  interets  du savant se trouvent generalement
tout a fait ailleurs, par exemple dans la famille, dans
l’aprete au gain, ou dans la politique ; il est meme presque
indifferent que sa petite machine soit placee a tel ou tel
point de la science, et que le jeune travailleur d’ avenir 
devienne bon philologue, ou peut-etre connaisseur de
champignons, ou encore chimiste :  peu importe, pour le
distinguer, qu’il devienne ceci ou cela. Au contraire, chez le
philosophe, il n’y a rien d’impersonnel ; et particulierement"
16,13,"13
sa morale temoigne, d’une facon decisive et absolue, de ce
qu’il est,  c’est-a-dire dans quel rapport se trouvent les
instincts les plus intimes de sa nature.
7.
Comme les philosophes peuvent etre mechants  ! Je ne
connais rien de plus perfide que la plaisanterie qu’Epicure
s’est permise a l’egard de Platon et des Platoniciens ; il les a
appeles Dionysiokolakes. Cela veut dire d’abord et selon
l’etymologie   flatteurs de Dionysios , acolytes de tyran,
vils courtisans  ; mais cela signifie encore   un tas de
comediens, sans ombre de serieux  (car Dionysiokolax etait
une designation populaire du comedien). Et c’est surtout
dans cette derniere interpretation que se trouve le trait de
mechancete qu’Epicure decocha a Platon : il etait indigne
de l’allure grandiose, de l’habilete a se mettre en scene, a
quoi s’entendaient Platon et ses disciples,  a quoi ne
s’entendait pas Epicure, lui, le vieil instituteur de Samos qui
ecrivit trois cents ouvrages, cache dans son petit jardin de
Samos. Et, qui sait ? peut-etre ne les ecrivit-il que par depit,
par orgueil, pour faire piece a Platon ?  Il fallut cent ans a
la Grece pour se rendre compte de ce qu’etait Epicure, ce
dieu des jardins.  Si tant est qu’elle s’en rendit compte...
8.
Dans 
toute 
philosophie, 
il 
y 
a 
un 
point 
ou 
la
  conviction   du philosophe entre en scene  : ou, pour
emprunter le langage d’un antique mystere :"
17,14,"14
 
adventavit asinus 
pulcher et fortissimus.
 
9.
C’est   conformement a la nature   que vous voulez
vivre  ! O nobles stoiciens, quelle duperie est la votre  !
Imaginez une organisation telle que la nature, prodigue sans
mesure, indifferente sans mesure, sans intentions et sans
egards, sans pitie et sans justice, a la fois feconde, et aride,
et incertaine, imaginez l’indifference elle-meme erigee en
puissance,  comment pourriez-vous vivre conformement
a cette indifference  ? Vivre, n’est-ce pas precisement
l’aspiration a etre different de la nature ? La vie ne consiste-
t-elle pas precisement a vouloir evaluer, preferer, a etre
injuste, limite, autrement conforme ? Or, en admettant que
votre imperatif  vivre conformement a la nature  signifiat
au fond la meme chose que  vivre conformement a la vie 
 ne pourriez-vous pas vivre ainsi  ? Pourquoi faire un
principe de ce que vous etes vous-memes, de ce que vous
devez etre vous-memes  ?  De fait, il en est tout
autrement : en pretendant lire, avec ravissement, le canon
de votre loi dans la nature, vous aspirez a toute autre chose,
etonnants comediens qui vous dupez vous-memes  ! Votre
fierte veut s’imposer a la nature, y faire penetrer votre
morale, votre ideal ; vous demandez que cette nature soit
une nature  conforme au Portique  et vous voudriez que
toute existence n’existat qu’a votre image  telle une"
18,15,"15
monstrueuse 
et 
eternelle 
glorification 
du 
stoicisme
universel ! Malgre tout votre amour de la verite, vous vous
contraignez, avec une perseverance qui va jusqu’a vous
hypnotiser, a voir la nature a un point de vue faux, c’est-a-
dire stoique, tellement que vous ne pouvez plus la voir
autrement. Et, en fin de compte, quelque orgueil sans limite
vous fait encore caresser l’espoir dement de pouvoir
tyranniser la nature, parce que vous etes capables de vous
tyranniser vous-memes  car le stoicisme est une tyrannie
infligee a soi-meme,  comme si le stoicien n’etait pas lui-
meme un morceau de la nature ?... Mais tout cela est une
histoire vieille et eternelle  : ce qui arriva jadis avec les
stoiciens 
se 
produit 
aujourd’hui 
encore 
des 
qu’un
philosophe commence a croire en lui-meme. Il cree toujours
le monde a son image, il ne peut pas faire autrement, car la
philosophie est cet instinct tyrannique, cette volonte de
puissance la plus intellectuelle de toutes, la volonte de
 creer le monde , la volonte de la cause premiere.
10.
Le zele et la subtilite, je dirais presque la ruse que l’on
met aujourd’hui partout en Europe a serrer de pres le
probleme du   monde reel   et du   monde des
apparences  prete a reflechir et a ecouter ; et celui qui, a
l’arriere-plan, n’entend pas parler autre chose que la
 volonte du vrai  n’est certes pas doue de l’oreille la plus
fine. Dans certains cas fort rares, il se peut qu’une telle
  volonte du vrai   soit veritablement en jeu, ce sera
quelque intrepidite extravagante et aventureuse, l’orgueil de"
19,16,"16
metaphysicien d’une sentinelle perdue qui prefere une
poignee de  certitudes  a toute notre charretee de belles
possibilites. Il se peut meme qu’il y ait des puritains
fanatiques de la conscience qui preferent mourir sur la foi
d’un neant assure que sur la probabilite de quelque chose
d’incertain. Or, c’est la du nihilisme et l’indice d’une ame
desesperee et fatiguee jusqu’a la mort  : quelle que soit
l’apparence de bravoure que veut se donner une pareille
attitude. Il semble cependant qu’il en est autrement chez les
penseurs plus vigoureux, qui sont encore animes d’une
vitalite plus abondante et plus avide de vivre. Tandis que
ceux-ci prennent parti contre l’apparence et prononcent deja
avec orgueil le mot de   perspective  , tandis qu’ils
estiment aussi peu le temoignage de leur propre corps que
celui de l’apparence qui affirme que la terre est immobile,
renoncant 
ainsi, 
avec 
une 
visible 
insouciance, 
a
l’acquisition 
la 
plus 
certaine 
(car 
qu’affirme-t-on
aujourd’hui avec plus de certitude, si ce n’est son corps ?)
 qui sait, si, au fond, ils ne veulent pas reconquerir
quelque chose que l’on possedait jadis plus surement
encore, quelque chose qui fit partie du vieil apanage de la
foi, peut-etre l’  ame immortelle  , peut-etre le   Dieu
ancien , bref, des idees qui fourniraient une base de la vie
plus solide, c’est-a-dire meilleure et plus joyeuse que la
base des   idees modernes   ?"
20,16,"qui sait, si, au fond, ils ne veulent pas reconquerir
quelque chose que l’on possedait jadis plus surement
encore, quelque chose qui fit partie du vieil apanage de la
foi, peut-etre l’  ame immortelle  , peut-etre le   Dieu
ancien , bref, des idees qui fourniraient une base de la vie
plus solide, c’est-a-dire meilleure et plus joyeuse que la
base des   idees modernes   ? Il y a la de la mefiance a
l’egard de ces idees modernes, il y a de l’incredulite au
sujet de tout ce qui a ete edifie hier et aujourd’hui ; il s’y
mele peut-etre un certain degout et une legere ironie a
l’egard de cet insupportable bric-a-brac d’idees de l’origine"
21,17,"17
la plus diverse, tel que nous apparait aujourd’hui ce que
l’on appelle positivisme, une repugnance du gout plus
affine devant ce bariolage de foire et ces haillons, ou
paradent ces philosophatres de la realite chez qui rien n’est
neuf et serieux, sinon precisement ce bariolage. J’ai idee
que c’est en cela qu’il faudrait donner raison a ces
sceptiques anti-realistes, a ces minutieux chercheurs de la
connaissance : leur instinct qui les chasse hors de la realite
moderne n’a pas ete refute,  que nous importe leurs voies
detournees qui ramenent en arriere ! Ce qu’il y a d’essentiel
chez eux, ce n’est pas qu’ils veulent retourner  en arriere ,
c’est bien plutot qu’ils veulent  s’en aller. Un peu plus de
force, d’elan, de courage, de maitrise, et ils voudraient
sortir de tout cela  et non point aller en arriere ! 
11.
Il me semble que l’on s’efforce maintenant partout de
detourner le regard de l’influence veritable que Kant a
exercee sur la philosophie allemande et surtout de glisser
prudemment sur la valeur qu’il s’est reconnue a lui-meme.
Kant 
s’enorgueillissait, 
avant 
tout, 
de 
sa 
table 
des
categories. Il disait, avec cette table en main :  Voila ce qui
pouvait 
etre 
tente 
de 
plus 
difficile 
en 
vue 
de 
la
metaphysique.    Qu’on entende bien ce   pouvait
etre  ! Il etait fier d’avoir decouvert, dans l’homme, une
nouvelle faculte du jugement synthetique a priori."
22,17,"Il me semble que l’on s’efforce maintenant partout de
detourner le regard de l’influence veritable que Kant a
exercee sur la philosophie allemande et surtout de glisser
prudemment sur la valeur qu’il s’est reconnue a lui-meme.
Kant 
s’enorgueillissait, 
avant 
tout, 
de 
sa 
table 
des
categories. Il disait, avec cette table en main :  Voila ce qui
pouvait 
etre 
tente 
de 
plus 
difficile 
en 
vue 
de 
la
metaphysique.    Qu’on entende bien ce   pouvait
etre  ! Il etait fier d’avoir decouvert, dans l’homme, une
nouvelle faculte du jugement synthetique a priori. En
admettant qu’il ait fait erreur sur ce point, le developpement
et la floraison rapide de la philosophie allemande ne
tiennent pas moins a cette fierte et au zele que tous les"
23,18,"18
savants plus jeunes mettent a decouvrir, si possible, quelque
chose qui les enorgueillit davantage encore,  a decouvrir,
en tous les cas, de   nouvelles facultes    !  Mais
reflechissons, il en est grand temps  ! Comment les
jugements synthetiques a priori sont-ils possibles  ? se
demanda Kant. Et que repondit-il en somme  ? Au moyen
d’une faculte. Mais il ne se contenta pas, malheureusement,
d’une reponse en trois mots. Il fut prolixe, solennel, il fit
etalage de profondeur et d’amphigouri germaniques, au
point que l’on oublia la joyeuse niaiserie allemande qu’il y
a au fond d’une pareille reponse. Mieux encore, on ne se
sentit plus de joie devant cette decouverte d’une faculte
nouvelle, et l’enthousiasme atteignit son comble lorsque
Kant ajouta une nouvelle decouverte, celle de la faculte
morale de l’homme  ;  car alors les Allemands etaient
encore moraux et ne s’occupaient en aucune facon de
politique realiste.  Et ce fut la lune de miel de la
philosophie allemande  : tous les jeunes theologiens du
Seminaire de Tubingue fouillerent les buissons pour y
decouvrir encore des   facultes  . Que ne decouvrit-on
point, durant cette periode encore si juvenile de la
philosophie allemande, cette periode innocente et riche, ou
chanta la fee maligne du romantisme, alors que l’on ne
savait pas encore distinguer entre   decouvrir   et
 inventer  ! On decouvrit avant tout une faculte pour les
choses   transcendantes  . Schelling la baptisa du nom
d’intuition intellectuelle et vint ainsi au-devant des desirs
les plus intimes de ses Allemands remplis d’envies pieuses.
On ne peut faire de plus grand tort a tout ce mouvement"
24,19,"19
impetueux et enthousiaste qui etait de la jeunesse, bien qu’il
s’affublat audacieusement d’un manteau d’idees grises et
seniles, qu’en le prenant au serieux, qu’en le traitant meme
avec indignation morale. Bref, on devint plus vieux,  et le
reve s’envola. Il vint un temps ou l’on se mit a se frotter le
front. On se le frotte encore. On avait reve. Avant tout et en
premier lieu le vieux Kant.   Au moyen d’une faculte ,
avait-il dit, voulut-il dire tout au moins. Mais, est-ce bien la
une reponse ? Une explication ? Ou plutot, n’est-ce pas la
repetition de la question ? Comment l’opium fait-il dormir ?
  Au moyen d’une faculte  , la virtus dormitiva, 
repondit ce medecin de Moliere,
Quia est in eo virtus dormitiva,  
cujus est natura sensus assoupire.
Mais de pareilles reponses conviennent a la comedie, et il
est enfin temps de remplacer la question de Kant  :
  Comment les jugements synthetiques a priori sont-ils
possibles  ?   par une autre question  :   Pourquoi la
croyance en de pareils jugements est-elle necessaire  ?  
C’est-a-dire qu’il est enfin temps de comprendre que, pour
la conservation des etres de notre espece, ces jugements
doivent etre tenus pour vrais, ce qui ne les empecherait
d’ailleurs pas d’etre des jugements faux. Ou, pour parler
plus clairement, pour dire les choses grossierement et
radicalement  : les jugements synthetiques a priori ne
devraient pas du tout etre   possibles  . Nous n’avons
aucun droit sur eux, dans notre bouche ce ne sont que des
jugements faux. Cependant, il etait necessaire qu’ils fussent"
25,20,"20
tenus pour vrais, telle une croyance de premier plan, comme
un aspect qui fait partie de l’optique meme de la vie.  Et,
pour tenir compte enfin de l’enorme influence exercee dans
toute l’Europe par la  philosophie allemande   j’espere
que l’on comprendra son droit aux guillemets,  on ne
saurait douter qu’une certaine virtus dormitiva y ait
participe  : on etait ravi, parmi les nobles desuvres de
toutes les nations, moralistes, mystiques, artistes, chretiens
aux trois quarts et obscurantistes politiques, ravi de
posseder, grace a la philosophie allemande, un contrepoison
pour combattre le sensualisme tout-puissant qui, du siecle
dernier, avait deborde dans celui-ci, bref    sensus
assoupire ...
12.
Pour ce qui en est de l’atomisme materialiste, celui-ci
appartient aux choses les mieux refutees qui soient. Peut-
etre, parmi les savants, personne aujourd’hui, n’est-il assez
ignorant pour lui accorder une importance quelconque, si ce
n’est pour la commodite personnelle et l’usage courant (je
veux dire pour abreger la terminologie)  grace surtout a
ce Polonais, Boscovich, qui fut, jusqu’a present, avec un
autre Polonais, Copernic, le plus grand et le plus victorieux
adversaire de l’apparence. Tandis que Copernic nous a
persuades de croire, contrairement a l’affirmation de nos
sens, que la terre n’est pas immobile, Boscovich enseigna a
abjurer la croyance en la derniere chose qui passat pour
  etablie   sur la terre, la croyance en la   matiere   et
l’atome, derniere reduction de la terre. Ce fut le grand"
